Feature,County,Cnty ID,Type,Prefecture,Pref ID,CNTY_X_COOR,CNTY_Y_COOR,PREF_X_COOR,PREF_Y_COOR
狄泉,雒阳,82828,spring,河南尹,210872,112.5963,34.73157,112.43541,34.671524
唐聚,雒阳,82828,sett,河南尹,210872,112.5963,34.73157,112.43541,34.671524
上程聚,雒阳,82828,sett,河南尹,210872,112.5963,34.73157,112.43541,34.671524
士乡聚,雒阳,82828,sett,河南尹,210872,112.5963,34.73157,112.43541,34.671524
褚氏聚,雒阳,82828,sett,河南尹,210872,112.5963,34.73157,112.43541,34.671524
荣锜涧,雒阳,82828,river,河南尹,210872,112.5963,34.73157,112.43541,34.671524
前亭,雒阳,82828,admin,河南尹,210872,112.5963,34.73157,112.43541,34.671524
圉乡,雒阳,82828,admin,河南尹,210872,112.5963,34.73157,112.43541,34.671524
大解城,雒阳,82828,walled,河南尹,210872,112.5963,34.73157,112.43541,34.671524
甘城,河南,82830,walled,河南尹,210872,112.41652,34.67085,112.43541,34.671524
蒯乡,河南,82830,admin,河南尹,210872,112.41652,34.67085,112.43541,34.671524
霍阳山,梁故国,210767,mount,河南尹,210872,115.603994,34.365637,112.43541,34.671524
注城,梁故国,210767,walled,河南尹,210872,115.603994,34.365637,112.43541,34.671524
鸿沟水,荧阳,44385,river,河南尹,210872,113.53442,34.87436,112.43541,34.671524
广武城,荧阳,44385,walled,河南尹,210872,113.53442,34.87436,112.43541,34.671524
虢亭,荧阳,44385,admin,河南尹,210872,113.53442,34.87436,112.43541,34.671524
陇城,荧阳,44385,walled,河南尹,210872,113.53442,34.87436,112.43541,34.671524
薄亭,荧阳,44385,admin,河南尹,210872,113.53442,34.87436,112.43541,34.671524
敖亭,荧阳,44385,admin,河南尹,210872,113.53442,34.87436,112.43541,34.671524
荧泽,荧阳,44385,lake,河南尹,210872,113.53442,34.87436,112.43541,34.671524
长城,卷,82523,mili,河南尹,210872,113.78767,35.03897,112.43541,34.671524
垣雝城,卷,82523,walled,河南尹,210872,113.78767,35.03897,112.43541,34.671524
扈城亭,卷,82523,admin,河南尹,210872,113.78767,35.03897,112.43541,34.671524
圃田泽,中牟,44356,lake,河南尹,210872,114.05869,34.73158,112.43541,34.671524
清口水,中牟,44356,river,河南尹,210872,114.05869,34.73158,112.43541,34.671524
管城,中牟,44356,walled,河南尹,210872,114.05869,34.73158,112.43541,34.671524
曲遇聚,中牟,44356,sett,河南尹,210872,114.05869,34.73158,112.43541,34.671524
蔡亭,中牟,44356,admin,河南尹,210872,114.05869,34.73158,112.43541,34.671524
棐林,菀陵,82465,forest,河南尹,210872,113.84439,34.4624,112.43541,34.671524
制泽,菀陵,82465,lake,河南尹,210872,113.84439,34.4624,112.43541,34.671524
琐侯亭,菀陵,82465,admin,河南尹,210872,113.84439,34.4624,112.43541,34.671524
瀍水,谷城,82843,river,河南尹,210872,112.33608,34.70347,112.43541,34.671524
函谷关,谷城,82843,mili,河南尹,210872,112.33608,34.70347,112.43541,34.671524
邬聚,缑氏,82852,sett,河南尹,210872,112.84392,34.58003,112.43541,34.671524
轘辕关,缑氏,82852,mili,河南尹,210872,112.84392,34.58003,112.43541,34.671524
寻谷水,巩,82874,river,河南尹,210872,112.92985,34.76676,112.43541,34.671524
东訾聚,巩,82874,sett,河南尹,210872,112.92985,34.76676,112.43541,34.671524
坎陷聚,巩,82874,sett,河南尹,210872,112.92985,34.76676,112.43541,34.671524
黄亭,巩,82874,admin,河南尹,210872,112.92985,34.76676,112.43541,34.671524
湟水,巩,82874,river,河南尹,210872,112.92985,34.76676,112.43541,34.671524
明溪泉,巩,82874,spring,河南尹,210872,112.92985,34.76676,112.43541,34.671524
旃然水,成皋,82441,river,河南尹,210872,113.19088,34.85169,112.43541,34.671524
瓶丘聚,成皋,82441,sett,河南尹,210872,113.19088,34.85169,112.43541,34.671524
漫水,成皋,82441,river,河南尹,210872,113.19088,34.85169,112.43541,34.671524
汜水,成皋,82441,river,河南尹,210872,113.19088,34.85169,112.43541,34.671524
大騩山,密,82458,mount,河南尹,210872,113.49292,34.44397,112.43541,34.671524
梅山,密,82458,mount,河南尹,210872,113.49292,34.44397,112.43541,34.671524
陉山,密,82458,mount,河南尹,210872,113.49292,34.44397,112.43541,34.671524
高都城,新城,210903,walled,河南尹,210872,112.332968,34.34802,112.43541,34.671524
广成聚,新城,210903,sett,河南尹,210872,112.332968,34.34802,112.43541,34.671524
鄤聚,新城,210903,sett,河南尹,210872,112.332968,34.34802,112.43541,34.671524
尸乡,匽师,82846,admin,河南尹,210872,112.805,34.72062,112.43541,34.671524
隰城,怀,82506,walled,河内郡,210688,113.32951,35.09044,113.251826,35.046935
湛城,河阳,82512,walled,河内郡,210688,112.59556,34.92004,113.251826,35.046935
原乡,轵,82494,admin,河内郡,210688,112.58481,35.04504,113.251826,35.046935
湨梁,轵,82494,waterInfra,河内郡,210688,112.58481,35.04504,113.251826,35.046935
絺城,波,82493,walled,河内郡,210688,112.71826,35.042,113.251826,35.046935
太行山,野王,82487,mount,河内郡,210688,112.93699,35.0893,113.251826,35.046935
射犬聚,野王,82487,sett,河内郡,210688,112.93699,35.0893,113.251826,35.046935
邘城,野王,82487,walled,河内郡,210688,112.93699,35.0893,113.251826,35.046935
济水,温,82520,river,河内郡,210688,112.95067,34.91056,113.251826,35.046935
邢丘,平皋,82519,sett,河内郡,210688,113.1805,34.95191,113.251826,35.046935
李城,平皋,82519,walled,河内郡,210688,113.1805,34.95191,113.251826,35.046935
雍城,山阳邑,82502,walled,河内郡,210688,113.30097,35.24853,113.251826,35.046935
蔡城,山阳邑,82502,walled,河内郡,210688,113.30097,35.24853,113.251826,35.046935
南阳城,修武,82265,walled,河内郡,210688,113.66022,35.26813,113.251826,35.046935
阳樊,修武,82265,undetermined,河内郡,210688,113.66022,35.26813,113.251826,35.046935
攒茅田,修武,82265,undetermined,河内郡,210688,113.66022,35.26813,113.251826,35.046935
小修武聚,修武,82265,sett,河内郡,210688,113.66022,35.26813,113.251826,35.046935
隤城,修武,82265,walled,河内郡,210688,113.66022,35.26813,113.251826,35.046935
