Feature,County,Cnty ID,Type,Prefecture,Pref ID
狄泉,雒阳,82828,spring,河南尹,210872
唐聚,雒阳,82828,sett,河南尹,210872
上程聚,雒阳,82828,sett,河南尹,210872
士乡聚,雒阳,82828,sett,河南尹,210872
褚氏聚,雒阳,82828,sett,河南尹,210872
荣锜涧,雒阳,82828,river,河南尹,210872
前亭,雒阳,82828,admin,河南尹,210872
圉乡,雒阳,82828,admin,河南尹,210872
大解城,雒阳,82828,walled,河南尹,210872
甘城,河南,82830,walled,河南尹,210872
蒯乡,河南,82830,admin,河南尹,210872
霍阳山,梁故国,210767,mount,河南尹,210872
注城,梁故国,210767,walled,河南尹,210872
鸿沟水,荧阳,44385,river,河南尹,210872
广武城,荧阳,44385,walled,河南尹,210872
虢亭,荧阳,44385,admin,河南尹,210872
陇城,荧阳,44385,walled,河南尹,210872
薄亭,荧阳,44385,admin,河南尹,210872
敖亭,荧阳,44385,admin,河南尹,210872
荧泽,荧阳,44385,lake,河南尹,210872
长城,卷,82523,mili,河南尹,210872
垣雝城,卷,82523,walled,河南尹,210872
扈城亭,卷,82523,admin,河南尹,210872
圃田泽,中牟,44356,lake,河南尹,210872
清口水,中牟,44356,river,河南尹,210872
管城,中牟,44356,walled,河南尹,210872
曲遇聚,中牟,44356,sett,河南尹,210872
蔡亭,中牟,44356,admin,河南尹,210872
棐林,菀陵,82465,forest,河南尹,210872
制泽,菀陵,82465,lake,河南尹,210872
琐侯亭,菀陵,82465,admin,河南尹,210872
瀍水,谷城,82843,river,河南尹,210872
函谷关,谷城,82843,mili,河南尹,210872
邬聚,缑氏,82852,sett,河南尹,210872
轘辕关,缑氏,82852,mili,河南尹,210872
寻谷水,巩,82874,river,河南尹,210872
东訾聚,巩,82874,sett,河南尹,210872
坎陷聚,巩,82874,sett,河南尹,210872
黄亭,巩,82874,admin,河南尹,210872
湟水,巩,82874,river,河南尹,210872
明溪泉,巩,82874,spring,河南尹,210872
旃然水,成皋,82441,river,河南尹,210872
瓶丘聚,成皋,82441,sett,河南尹,210872
漫水,成皋,82441,river,河南尹,210872
汜水,成皋,82441,river,河南尹,210872
大騩山,密,82458,mount,河南尹,210872
梅山,密,82458,mount,河南尹,210872
陉山,密,82458,mount,河南尹,210872
高都城,新城,210903,walled,河南尹,210872
广成聚,新城,210903,sett,河南尹,210872
鄤聚,新城,210903,sett,河南尹,210872
尸乡,匽师,82846,admin,河南尹,210872
隰城,怀,82506,walled,河内郡,210688
湛城,河阳,82512,walled,河内郡,210688
原乡,轵,82494,admin,河内郡,210688
湨梁,轵,82494,waterInfra,河内郡,210688
絺城,波,82493,walled,河内郡,210688
太行山,野王,82487,mount,河内郡,210688
射犬聚,野王,82487,sett,河内郡,210688
邘城,野王,82487,walled,河内郡,210688
济水,温,82520,river,河内郡,210688
邢丘,平皋,82519,sett,河内郡,210688
李城,平皋,82519,walled,河内郡,210688
雍城,山阳邑,82502,walled,河内郡,210688
蔡城,山阳邑,82502,walled,河内郡,210688
南阳城,修武,82265,walled,河内郡,210688
阳樊,修武,82265,undetermined,河内郡,210688
攒茅田,修武,82265,undetermined,河内郡,210688
小修武聚,修武,82265,sett,河内郡,210688
隤城,修武,82265,walled,河内郡,210688
淇水,共,82275,river,河内郡,210688
泛亭,共,82275,admin,河内郡,210688
牧野,朝歌,82269,undetermined,河内郡,210688
邶国,朝歌,82269,undetermined,河内郡,210688
宁乡,朝歌,82269,undetermined,河内郡,210688
羑里城,荡阴,82207,walled,河内郡,210688
铁,林虑,82216,resource,河内郡,210688
铁,安邑,95291,resource,河东郡,河东郡
盐池,安邑,95291,resource,河东郡,河东郡
高梁亭,杨,95392,admin,河东郡,河东郡
铁,平阳侯国,95415,resource,河东郡,河东郡
董亭,临汾,95427,admin,河东郡,河东郡
介山,汾阴,95470,mount,河东郡,河东郡
雷首山,蒲坂,95495,mount,河东郡,河东郡
沙丘亭,蒲坂,95495,admin,河东郡,河东郡
吴山,大阳,95280,mount,河东郡,河东郡
虞城,大阳,95280,walled,河东郡,河东郡
下阳城,大阳,95280,walled,河东郡,河东郡
茅津,大阳,95280,transport,河东郡,河东郡
颠軨坂,大阳,95280,transport,河东郡,河东郡
桑泉城,解,95482,walled,河东郡,河东郡
臼城,解,95482,walled,河东郡,河东郡
解城,解,95482,walled,河东郡,河东郡
瑕城,解,95482,walled,河东郡,河东郡
耿乡,皮氏,95230,admin,河东郡,河东郡
铁,皮氏,95230,resource,河东郡,河东郡
冀亭,皮氏,95230,admin,河东郡,河东郡
董池陂,闻喜邑,95248,lake,河东郡,河东郡
稷山亭,闻喜邑,95248,admin,河东郡,河东郡
涑水,闻喜邑,95248,river,河东郡,河东郡
洮水,闻喜邑,95248,river,河东郡,河东郡
翼城,绛邑,95423,walled,河东郡,河东郡
霍大山,永安,95218,mount,河东郡,河东郡
韩亭,河北,95285,admin,河东郡,河东郡
王屋山,垣,95255,mount,河东郡,河东郡
兖水,垣,95255,river,河东郡,河东郡
壶丘亭,垣,95255,admin,河东郡,河东郡
邵亭,垣,95255,admin,河东郡,河东郡
邵亭,垣,95255,admin,河东郡,河东郡
壶口山,北屈,95401,mount,河东郡,河东郡
采桑津,北屈,95401,transport,河东郡,河东郡
析城山,濩泽侯国,95724,mount,河东郡,河东郡
烛水,弘农,83053,river,弘农郡,210905
枯枞山,弘农,83053,mount,弘农郡,210905
桃丘聚,弘农,83053,sett,弘农郡,210905
务乡,弘农,83053,admin,弘农郡,210905
曹阳亭,弘农,83053,admin,弘农郡,210905
焦城,陕,83044,walled,弘农郡,210905
陕陌,陕,83044,undetermined,弘农郡,210905
谷水,黾池,82921,river,弘农郡,210905
二崤,黾池,82921,mount,弘农郡,210905
螕水,新安,82916,river,弘农郡,210905
虢略地,陆浑,82936,undetermined,弘农郡,210905
熊耳山,卢氏,83180,mount,弘农郡,210905
伊水,卢氏,83180,river,弘农郡,210905
清水,卢氏,83180,river,弘农郡,210905
閺乡,湖,83069,admin,弘农郡,210905
太华山,华阴,70324,mount,弘农郡,210905
细柳聚,长安,70623,sett,京兆尹,212275
兰池,长安,70623,lake,京兆尹,212275
曲邮,长安,70623,undetermined,京兆尹,212275
杜邮,长安,70623,undetermined,京兆尹,212275
枳道亭,霸陵,70646,admin,京兆尹,212275
长门亭,霸陵,70646,admin,京兆尹,212275
酆,杜陵,70633,undetermined,京兆尹,212275
骊山,新丰,70725,mount,京兆尹,212275
鸿门亭,新丰,70725,admin,京兆尹,212275
戏亭,新丰,70725,admin,京兆尹,212275
掫城,新丰,70725,walled,京兆尹,212275
美玉,蓝田,70749,resource,京兆尹,212275
冢领山,上雒侯国,200093,mount,京兆尹,212275
