ID,Y,X,PS
hvd_82885,34.81825,112.94897,
puzi,36.967,111.338,
yangling,34.424,108.921,汉阳陵位于今陕西省咸阳市渭城区正阳镇张家湾、后沟村北的咸阳原上，按正阳镇坐标。坐标来自geonames.org
duiyu,34.922676,109.000349,"景帝前元二年(前155年)设置祋祤县,县治在今陕西耀州河东堡东侧。经查，河东堡地区隶属于今五台村。坐标来自百度拾取坐标系统。"
pinyang,34.950905,109.364997,秦厉共公二十一年（前456）在频山以南设置频阳县（故址在今陕西富平县美原镇古城村一带）。位置按照美原镇，坐标来自百度拾取坐标系统。
lianshao,34.670483,109.69859,莲勺县，秦始皇二十七年（前220）前置，属内史，故址在今渭南市临渭区交斜镇来化村。位置按照交斜镇，坐标来自百度拾取坐标系统。
anling,34.432454,108.847126,陕西省咸阳市渭城区韩家湾乡白庙村。坐标来自百度拾取坐标系统。
qian,34.89998,106.843505,陕西陇县城关镇东南。坐标来自百度拾取坐标系统。
yumi,34.649343,107.154508,始设隃麋县(治地在今县城（千阳县）东郊千川村)。坐标按照千川村，坐标来自百度拾取坐标系统。
yong,34.528092,107.406804,秦始皇统一中国后（前221）置雍县，属内史。治所在今陕西凤翔县南。
hvd_116218,34.53333,109.08048,
hvd_116125,34.31799,108.93719,
