NAME_PY;NAME_CH;NAME_FT;X_COOR;Y_COOR;PRES_LOC;TYPE_PY;TYPE_CH;LEV_RANK;勘誤;BEG_YR;BEG_RULE;END_YR;END_RULE;NOTE_ID;OBJ_TYPE;SYS_ID;GEO_SRC;COMPILER;GEOCOMPLR;CHECKER;END_DATE;BEG_CHG_TY;END_CHG_TY
Taiyuan Jun;太原郡;太原郡;112.488755;37.73958;今山西太原市晋源区古城营村;Jun;郡;3;正確;-247;4;219;4;0;POINT;210026;FROM_FD;王尚义王杰;;;;新建;更名
Yanmen Jun;雁门郡;雁門郡;112.303273;39.952487;今山西右玉县西南古城村;Jun;郡;3;正確;-221;4;13;4;0;POINT;210037;FROM_FD;王尚义王杰;;;;新建;更名
Tiandi Jun;填狄郡;填狄郡;112.303273;39.952487;今山西右玉县西南古城村;Jun;郡;3;正確;14;4;22;4;0;POINT;210038;FROM_FD;王尚义王杰;;;;更名;更名
Yanmen Jun;雁门郡;雁門郡;112.303273;39.952487;今山西右玉县西南古城村;Jun;郡;3;正確;23;4;51;4;0;POINT;210039;FROM_FD;王尚义王杰;;;;更名;治所迁移
Dingxiang Jun;定襄郡;定襄郡;112.343891;40.160439;今山西右玉县右卫镇;Jun;郡;3;正確;23;4;212;4;0;POINT;210129;FROM_AC;王尚义王杰;;;;治所迁移;撤销
Taodui Jun;洮队郡;洮隊郡;111.160371;35.180226;今山西夏县禹王乡;Jun;郡;3;正確;14;4;22;4;0;POINT;210162;FROM_FD;王尚义陈一;;;;更名;更名
Shangdang Jun;上党郡;上黨郡;112.874092;36.119902;今山西长子县城;Jun;郡;3;正確;-204;4;188;4;0;POINT;210169;FROM_AC;王尚义王杰;;;;治所迁移;治所迁移
Hedong Jun;河东郡;河東郡;111.160371;35.180226;今山西夏县禹王乡;Jun;郡;3;正確;-204;4;13;4;0;POINT;210216;FROM_FD;王尚义陈一;;;;新建;更名
Hedong Jun;河东郡;河東郡;111.160371;35.180226;今山西夏县禹王乡;Jun;郡;3;正確;23;4;427;4;0;POINT;210217;FROM_FD;王尚义陈一;;;;更名;治所迁移
Bing Zhou;并州;並州;112.488755;37.73958;今山西太原市晋源区古城营村;Zhou;州;3;正確;-106;4;212;4;0;POINT;210261;FROM_FD;王尚义王杰;;;;新建;撤销
