"郡列表	"
"京兆尹	√"
"左冯翊	√"
"右扶风	√"
"弘农郡	√"
"河东郡	√"
"河内郡	√"
"河南郡	√"
"颍川郡	√"
"汝南郡	√"
"沛郡	√"
"梁国	"
"鲁国	"
"魏郡	√"
"巨鹿郡	√"
"常山郡	√"
"清河郡	√"
"赵国	"
"广平国	"
"真定国	"
"中山国	"
"信都国	"
"河间国	"
"东郡	√"
"陈留郡	√"
"山阳郡	"
"济阴郡	"
"泰山郡	√"
"城阳国	"
"淮阳国	"
"东平国	"
"平原郡	√"
"千乘郡	√"
"济南郡	√"
"齐郡	√"
"北海郡	√"
"东莱郡	√"
"甾川国	"
"胶东国	"
"高密国	"
"琅邪郡	√"
"东海郡	√"
"临淮郡	√"
"楚国	"
"泗水国	"
"广陵国	"
"南阳郡	√"
"南郡	√"
"江夏郡	√"
"桂阳郡	√"
"武陵郡	√"
"零陵郡	√"
"长沙国	"
"庐江郡	√"
"九江郡	√"
"会稽郡	√"
"丹扬郡	√"
"豫章郡	√"
"六安国	"
"汉中郡	√"
"广汉郡	√"
"蜀郡	√"
"犍为郡	√"
越巂郡 √
"益州郡 √	"
"牂柯郡 √ 	"
"巴郡 √ 	"
"武都郡 √  	"
"陇西郡 √   	"
"金城郡 √    	"
"天水郡 √	"
"武威郡 √ 	"
"张掖郡 √  	"
"酒泉郡 √   	"
"敦煌郡 √    	"
"安定郡 √     	"
"太原郡	√"
"上党郡	√"
"云中郡	"
"定襄郡 √   	"
"雁门郡	"
"代郡	"
"北地郡	√"
"上郡 √	"
"西河郡 √	"
"朔方郡 √ 	"
"五原郡 √  	"
"涿郡	√"
"勃海郡	√"
"上谷郡	"
"渔阳郡	"
"右北平郡	"
"辽西郡	"
"辽东郡	"
"玄菟郡	"
"乐浪郡	"
"广阳国	"
"南海郡	"
"郁林郡	"
"苍梧郡	"
"交阯郡	"
"合浦郡	"
"九真郡	"
"日南郡	"
