county_han,county_xin,county_id
东武县,祥善县,23301
不其县,不其县,23302
海曲县,海曲县,23303
赣榆县,赣榆县,23304
朱虚县,朱虚县,23305
诸县,诸并县,23306
梧成县,梧成县,23307
灵门县,灵门县,23308
姑幕县,季睦县,23309
虚水侯国,虚水县,23310
临原侯国,填夷亭县,23311
琅邪县,琅邪县,23312
祓侯国,祓县,23313
柜县,祓同县,23314
缾侯国,缾县,23315
邞县,纯德县,23316
雩叚侯国,雩叚县,23317
黔陬县,黔陬县,23318
云侯国,云县,23319
计斤县,计斤县,23320
稻侯国,稻县,23321
皋虞侯国,盈庐县,23322
平昌县,平昌县,23323
长广县,长广县,23324
横县,令丘县,23325
东莞县,东莞县,23326
魏其侯国,青泉县,23327
昌县,昌县,23328
兹乡侯国,兹乡县,23329
箕侯国,箕县,23330
椑县,识命县,23331
高广侯国,高广县,23332
高乡侯国,高乡县,23333
柔侯国,柔县,23334
即来侯国,盛睦县,23335
丽侯国,丽县,23336
武乡侯国,顺理县,23337
伊乡侯国,伊乡县,23338
新山侯国,新山县,23339
高阳侯国,高阳县,23340
昆山侯国,昆山县,23341
参封侯国,参封县,23342
折泉侯国,折泉县,23343
博石侯国,博石县,23344
房山侯国,房山县,23345
慎乡侯国,慎乡县,23346
驷望侯国,泠乡县,23347
安丘侯国,宁乡县,23348
高陵侯国,蒲陆县,23349
临安侯国,诚信县,23350
石山侯国,石山县,23351
