county_han;county_xin;X_COOR;Y_COOR
东武县;祥善县;119.40398;35.99335
不其县;不其县;120.37079;36.30302
海曲县;海曲县;119.40339;35.41991
赣榆县;赣榆县;119.110076;34.982351
诸县;诸并县;119.22038;35.91977
灵门县;灵门县;119.09924;36.12208
姑幕县;季睦县;119.09924;36.12208
临原侯国;填夷亭县;118.59043;36.51717
琅邪县;琅邪县;119.84844;35.69094
柜县;祓同县;119.99307;36.07916
邞县;纯德县;119.70118;36.15749
黔陬县;黔陬县;119.7812;36.05701
计斤县;计斤县;119.99147;36.29639
稻侯国;稻县;119.49437;36.29815
皋虞侯国;盈庐县;120.70745;36.46771
长广县;长广县;120.86842;37.01167
横县;令丘县;119.57275;35.89519
东莞县;东莞县;118.62395;35.79103
魏其侯国;青泉县;118.47497;35.03703
昌县;昌县;119.46484;36.0885
兹乡侯国;兹乡县;119.09138;36.17898
箕侯国;箕县;119.00708;35.86647
椑县;识命县;119.00465;35.27481
高广侯国;高广县;118.74435;35.47238
高乡侯国;高乡县;118.82428;35.18228
高阳侯国;高阳县;119.14979;35.23772
昆山侯国;昆山县;119.32262;35.74177
折泉侯国;折泉县;119.17777;35.77022
安丘侯国;宁乡县;119.38731;36.31668
祓侯国;祓县;119.7461763;36.062405
丽侯国;丽县;119.0955761;35.9883763
新山侯国;新山县;118.2958487;35.697661
房山侯国;房山县;118.6710902;36.5276548
朱虚县;朱虚县;118.8056;36.4137
梧成县;梧成县;118.9451;36.305
缾侯国;缾县;118.648;36.4236
