name;feature;feature_type;county_han;county_xin;ID;name_type;X_COOR;Y_COOR;pref_han;pref_xin;pref_id
郿县;右辅都尉治;mili_admin;郿县;郿县;10308;不改;107.83877;34.29156;右扶风;右扶风;103
女阴县;都尉治;mili_admin;女阴县;汝坟县;20214;重地;115.7905843;32.8994123;汝南郡;汝坟郡;202
蕲县;都尉治;mili_admin;蕲县;蕲城县;20313;城;117.012772;33.442562;沛郡;吾符郡;203
魏县;都尉治;mili_admin;魏县;魏城亭县;20607;亭;115.1358464;36.2454112;魏郡;魏城郡;206
下曲阳县;都尉治;mili_admin;下曲阳县;下曲阳县;20709;不改;114.9753934;38.0337152;巨鹿郡;和戎郡;207
贝丘县;都尉治;mili_admin;贝丘县;贝丘县;20907;不改;115.6949104;36.7967672;清河郡;平河郡;209
东阿县;都尉治;mili_admin;东阿县;东阿县;21612;不改;116.0467;36.16054;东郡;治亭郡;216
外黄县;都尉治;mili_admin;外黄县;外黄县;21709;不改;114.96721;34.75629;陈留郡;陈留郡;217
单父县;都尉治;mili_admin;单父县;利父县;21809;改一;116.07925;34.7979;山阳郡;巨野郡;218
卢县;都尉治;mili_admin;卢县;卢县;22004;不改;118.19142;35.79941;泰山郡;泰山郡;220
乐陵县;都尉治;mili_admin;乐陵县;美阳县;22408;嘉名;117.21648;37.62167;平原郡;河平郡;224
蓼城县;都尉治;mili_admin;蓼城县;施武县;22506;嘉名;118.1816564;37.4575082;千乘郡;建信郡;225
於陵县;都尉治;mili_admin;於陵县;於陆县;22606;改一;117.9076654;36.8222472;济南郡;乐安郡;226
费县;都尉治;mili_admin;费县;顺从县;23410;嘉名;117.93291;35.35534;东海郡;沂平郡;234
邓县;都尉治;mili_admin;邓县;邓县;23527;不改;112.09982;32.08813;南阳郡;前队郡;235
安平县;都尉治;mili_admin;安平县;广望亭县;23814;亭;115.51058;38.23053;涿郡;垣翰郡;238
盱眙县;都尉治;mili_admin;盱眙县;武匡县;30104;嘉名;118.560493;33.096321;临淮郡;淮平郡;301
历阳县;都尉治;mili_admin;历阳县;明义县;30506;嘉名;118.361122;31.714224;九江郡;延平郡;305
钱唐县;西部都尉治;mili_admin;钱唐县;泉亭县;30622;亭;120.168625;30.294125;会稽郡;会稽郡;306
回浦县;南部都尉治;mili_admin;回浦县;回浦县;30626;不改;121.418793;28.713875;会稽郡;会稽郡;306
歙县;都尉治;mili_admin;歙县;歙县;30716;不改;118.433945;29.86577;丹扬郡;丹扬郡;307
新淦县;都尉治;mili_admin;新淦县;偶亭县;30810;亭;115.539604;28.064373;豫章郡;九江郡;308
夷陵县;都尉治;mili_admin;夷陵县;居利县;40103;嘉名;111.29004;30.69551;南郡;南顺郡;401
褒中县;都尉治;mili_admin;褒中县;褒中县;50104;不改;106.95345;33.18897;汉中郡;新成郡;501
绵竹县;都尉治;mili_admin;绵竹县;绵竹县;50205;不改;104.418457;31.242928;广汉郡;广新郡;502
阴平道;北部都尉治;mili_admin;阴平道;摧虏县;50213;意义;104.4010423;33.1856923;广汉郡;广新郡;502
鱼复县;都尉治;mili_admin;鱼复县;鱼复县;50809;不改;109.56633;31.04914;巴郡;巴郡;508
